18H:6M:45S : DEBUT DU PROGRAMME
18H:6M:45S : appuie sur touche fa Majeur
18H:6M:45S : appuie sur touche mi mineur
18H:6M:46S : appuie sur touche re Majeur
18H:6M:46S : appuie sur touche mi Majeur
18H:6M:46S : appuie sur touche fa Majeur
18H:6M:46S : appuie sur touche sol Majeur
18H:6M:52S : L'utilisateur affiche le nom des notes
18H:6M:52S : L'utilisateur affiche le nom des notes
18H:6M:53S : L'utilisateur cache le nom des notes
18H:6M:53S : L'utilisateur cache le nom des notes
18H:6M:53S : L'utilisateur cache le nom des notes
18H:6M:53S : L'utilisateur cache le nom des notes
18H:6M:53S : L'utilisateur cache le nom des notes
18H:6M:53S : L'utilisateur cache le nom des notes
18H:6M:53S : L'utilisateur cache le nom des notes
18H:6M:53S : L'utilisateur cache le nom des notes
18H:6M:53S : L'utilisateur cache le nom des notes
18H:6M:53S : L'utilisateur cache le nom des notes
18H:6M:53S : L'utilisateur cache le nom des notes
18H:6M:53S : L'utilisateur cache le nom des notes
18H:6M:53S : L'utilisateur cache le nom des notes
18H:6M:53S : L'utilisateur cache le nom des notes
18H:6M:53S : L'utilisateur cache le nom des notes
18H:6M:53S : L'utilisateur cache le nom des notes
18H:6M:53S : L'utilisateur cache le nom des notes
18H:6M:53S : L'utilisateur cache le nom des notes
18H:6M:53S : L'utilisateur cache le nom des notes
18H:6M:53S : L'utilisateur cache le nom des notes
18H:6M:53S : L'utilisateur cache le nom des notes
18H:6M:53S : L'utilisateur cache le nom des notes
18H:6M:53S : L'utilisateur cache le nom des notes
18H:6M:53S : L'utilisateur cache le nom des notes
18H:6M:53S : L'utilisateur affiche le nom des notes
18H:6M:53S : L'utilisateur affiche le nom des notes
18H:6M:53S : L'utilisateur affiche le nom des notes
18H:6M:53S : L'utilisateur affiche le nom des notes
18H:6M:53S : L'utilisateur affiche le nom des notes
18H:6M:53S : L'utilisateur affiche le nom des notes
18H:6M:53S : L'utilisateur affiche le nom des notes
18H:6M:53S : L'utilisateur affiche le nom des notes
18H:6M:53S : L'utilisateur affiche le nom des notes
18H:6M:53S : L'utilisateur affiche le nom des notes
18H:6M:53S : L'utilisateur affiche le nom des notes
18H:6M:53S : L'utilisateur affiche le nom des notes
18H:6M:53S : L'utilisateur affiche le nom des notes
18H:6M:53S : L'utilisateur affiche le nom des notes
18H:6M:53S : L'utilisateur affiche le nom des notes
18H:6M:53S : L'utilisateur affiche le nom des notes
18H:6M:53S : L'utilisateur affiche le nom des notes
18H:6M:53S : L'utilisateur affiche le nom des notes
18H:6M:53S : L'utilisateur affiche le nom des notes
18H:6M:53S : L'utilisateur affiche le nom des notes
18H:6M:53S : L'utilisateur affiche le nom des notes
18H:6M:53S : L'utilisateur affiche le nom des notes
18H:6M:53S : L'utilisateur affiche le nom des notes
18H:6M:53S : L'utilisateur affiche le nom des notes
18H:6M:54S : L'utilisateur cache le nom des notes
18H:6M:54S : L'utilisateur cache le nom des notes
18H:6M:54S : L'utilisateur cache le nom des notes
18H:6M:54S : L'utilisateur cache le nom des notes
18H:6M:54S : L'utilisateur cache le nom des notes
18H:6M:54S : L'utilisateur cache le nom des notes
18H:6M:54S : L'utilisateur cache le nom des notes
18H:6M:54S : L'utilisateur cache le nom des notes
18H:6M:54S : L'utilisateur cache le nom des notes
18H:6M:54S : L'utilisateur cache le nom des notes
18H:6M:54S : L'utilisateur cache le nom des notes
18H:6M:54S : L'utilisateur cache le nom des notes
18H:6M:54S : L'utilisateur cache le nom des notes
18H:6M:54S : L'utilisateur cache le nom des notes
18H:6M:54S : L'utilisateur cache le nom des notes
18H:6M:54S : L'utilisateur cache le nom des notes
18H:6M:54S : L'utilisateur cache le nom des notes
18H:6M:54S : L'utilisateur cache le nom des notes
18H:6M:54S : L'utilisateur cache le nom des notes
18H:6M:54S : L'utilisateur cache le nom des notes
18H:6M:54S : L'utilisateur cache le nom des notes
18H:6M:54S : L'utilisateur cache le nom des notes
18H:6M:54S : L'utilisateur cache le nom des notes
18H:6M:54S : L'utilisateur cache le nom des notes
18H:6M:54S : L'utilisateur affiche le nom des notes
18H:6M:54S : L'utilisateur affiche le nom des notes
18H:6M:54S : L'utilisateur affiche le nom des notes
18H:6M:54S : L'utilisateur affiche le nom des notes
18H:6M:54S : L'utilisateur affiche le nom des notes
18H:6M:54S : L'utilisateur affiche le nom des notes
18H:6M:54S : L'utilisateur affiche le nom des notes
18H:6M:54S : L'utilisateur affiche le nom des notes
18H:6M:54S : L'utilisateur affiche le nom des notes
18H:6M:54S : L'utilisateur affiche le nom des notes
18H:6M:54S : L'utilisateur affiche le nom des notes
18H:6M:54S : L'utilisateur affiche le nom des notes
18H:6M:54S : L'utilisateur affiche le nom des notes
18H:6M:54S : L'utilisateur affiche le nom des notes
18H:6M:54S : L'utilisateur affiche le nom des notes
18H:6M:54S : L'utilisateur affiche le nom des notes
18H:6M:54S : L'utilisateur affiche le nom des notes
18H:6M:54S : L'utilisateur affiche le nom des notes
18H:6M:54S : L'utilisateur affiche le nom des notes
18H:6M:54S : L'utilisateur affiche le nom des notes
18H:6M:54S : L'utilisateur affiche le nom des notes
18H:6M:54S : L'utilisateur affiche le nom des notes
18H:6M:54S : L'utilisateur affiche le nom des notes
18H:6M:54S : L'utilisateur affiche le nom des notes
18H:6M:56S : L'utilisateur  affiche les options
18H:6M:56S : L'utilisateur cache les options / agrandit le piano
18H:6M:56S : L'utilisateur  affiche les options
