13H:51M:51S : appuie sur touche mi Majeur
13H:51M:51S : appuie sur touche la Majeur
13H:51M:51S : appuie sur touche si Majeur
13H:51M:51S : appuie sur touche re mineur
13H:51M:51S : appuie sur touche re mineur
13H:51M:53S : appuie sur touche re Majeur
13H:51M:53S : appuie sur touche mi Majeur
13H:51M:53S : appuie sur touche fa Majeur
13H:51M:53S : appuie sur touche sol Majeur
13H:51M:53S : appuie sur touche sol Majeur
13H:51M:53S : appuie sur touche si Majeur
13H:51M:53S : appuie sur touche la Majeur
13H:51M:54S : appuie sur touche la Majeur
13H:51M:54S : appuie sur touche do mineur
13H:51M:54S : appuie sur touche si Majeur
13H:51M:54S : appuie sur touche do mineur
13H:51M:55S : appuie sur touche sol Majeur
13H:51M:55S : appuie sur touche la Majeur
13H:51M:55S : appuie sur touche do mineur
13H:51M:55S : appuie sur touche sol Majeur
13H:51M:55S : appuie sur touche la Majeur
13H:51M:55S : appuie sur touche si Majeur
13H:51M:56S : appuie sur touche fa Majeur
13H:51M:56S : appuie sur touche re Majeur
13H:51M:57S : appuie sur touche re Majeur
13H:51M:57S : appuie sur touche fa Majeur
13H:51M:57S : appuie sur touche re# Majeur
13H:51M:58S : appuie sur touche re# Majeur
13H:51M:58S : appuie sur touche re# Majeur
13H:51M:59S : appuie sur touche fa# Majeur
13H:51M:59S : appuie sur touche fa# Majeur
13H:51M:59S : appuie sur touche sol# Majeur
13H:52M:0S : appuie sur touche la# Majeur
13H:52M:1S : appuie sur touche do# mineur
13H:52M:2S : appuie sur touche do# mineur
13H:52M:2S : appuie sur touche re# mineur
13H:52M:3S : appuie sur touche re# mineur
13H:52M:3S : appuie sur touche re# mineur
13H:52M:4S : appuie sur touche fa# mineur
13H:52M:4S : appuie sur touche fa# mineur
13H:52M:5S : appuie sur touche sol# mineur
13H:52M:5S : appuie sur touche la# mineur
13H:52M:5S : appuie sur touche la# mineur
13H:52M:6S : appuie sur touche la# mineur
13H:52M:6S : appuie sur touche sol# mineur
13H:52M:6S : appuie sur touche fa# mineur
13H:52M:6S : appuie sur touche la mineur
13H:52M:8S : appuie sur touche sol mineur
13H:52M:9S : appuie sur touche sol mineur
13H:52M:9S : appuie sur touche sol mineur
13H:52M:9S : appuie sur touche sol mineur
13H:52M:9S : appuie sur touche sol mineur
13H:52M:11S : L'utilisateur affiche le nom des notes
13H:52M:11S : L'utilisateur affiche le nom des notes
13H:52M:11S : L'utilisateur affiche le nom des notes
13H:52M:11S : L'utilisateur affiche le nom des notes
13H:52M:11S : L'utilisateur affiche le nom des notes
13H:52M:11S : L'utilisateur affiche le nom des notes
13H:52M:11S : L'utilisateur affiche le nom des notes
13H:52M:11S : L'utilisateur affiche le nom des notes
13H:52M:11S : L'utilisateur affiche le nom des notes
13H:52M:11S : L'utilisateur affiche le nom des notes
13H:52M:12S : L'utilisateur cache le nom des notes
13H:52M:12S : L'utilisateur cache le nom des notes
13H:52M:12S : L'utilisateur cache le nom des notes
13H:52M:12S : L'utilisateur cache le nom des notes
13H:52M:12S : L'utilisateur cache le nom des notes
13H:52M:12S : L'utilisateur cache le nom des notes
13H:52M:12S : L'utilisateur cache le nom des notes
13H:52M:12S : L'utilisateur cache le nom des notes
13H:52M:12S : L'utilisateur cache le nom des notes
13H:52M:12S : L'utilisateur cache le nom des notes
13H:52M:12S : L'utilisateur cache le nom des notes
13H:52M:12S : L'utilisateur cache le nom des notes
13H:52M:12S : L'utilisateur cache le nom des notes
13H:52M:12S : L'utilisateur cache le nom des notes
13H:52M:12S : L'utilisateur cache le nom des notes
13H:52M:12S : L'utilisateur cache le nom des notes
13H:52M:12S : L'utilisateur cache le nom des notes
13H:52M:12S : L'utilisateur cache le nom des notes
13H:52M:12S : L'utilisateur cache le nom des notes
13H:52M:12S : L'utilisateur cache le nom des notes
13H:52M:12S : L'utilisateur cache le nom des notes
13H:52M:12S : L'utilisateur cache le nom des notes
13H:52M:12S : L'utilisateur cache le nom des notes
13H:52M:12S : L'utilisateur cache le nom des notes
13H:52M:38S : appuie sur touche re# Majeur
13H:52M:38S : appuie sur touche si mineur
13H:52M:39S : appuie sur touche si mineur
13H:52M:48S : appuie sur touche re Majeur
13H:52M:49S : appuie sur touche mi Majeur
13H:52M:49S : appuie sur touche sol Majeur
13H:52M:49S : appuie sur touche la Majeur
13H:52M:49S : appuie sur touche la Majeur
13H:52M:50S : appuie sur touche si Majeur
13H:52M:50S : appuie sur touche si Majeur
13H:52M:52S : appuie sur touche re Majeur
13H:52M:52S : appuie sur touche mi Majeur
13H:52M:52S : appuie sur touche fa Majeur
13H:52M:53S : appuie sur touche mi Majeur
13H:52M:53S : appuie sur touche fa Majeur
13H:52M:53S : appuie sur touche sol Majeur
13H:52M:53S : appuie sur touche fa Majeur
13H:52M:53S : appuie sur touche sol Majeur
13H:52M:54S : appuie sur touche la Majeur
13H:52M:54S : appuie sur touche sol Majeur
13H:52M:54S : appuie sur touche la Majeur
13H:52M:54S : appuie sur touche si Majeur
13H:52M:57S : appuie sur touche sol Majeur
13H:52M:57S : appuie sur touche la Majeur
13H:52M:57S : appuie sur touche si Majeur
13H:52M:58S : appuie sur touche si Majeur
13H:52M:58S : appuie sur touche si Majeur
13H:52M:58S : appuie sur touche la Majeur
13H:52M:59S : appuie sur touche sol Majeur
13H:52M:59S : appuie sur touche la Majeur
13H:53M:3S : appuie sur touche fa Majeur
13H:53M:3S : appuie sur touche la Majeur
13H:53M:4S : appuie sur touche fa Majeur
13H:53M:4S : appuie sur touche sol Majeur
13H:53M:4S : appuie sur touche la Majeur
13H:53M:5S : appuie sur touche fa Majeur
13H:53M:5S : appuie sur touche sol Majeur
13H:53M:5S : appuie sur touche la Majeur
13H:53M:6S : appuie sur touche mi Majeur
13H:53M:6S : appuie sur touche mi Majeur
13H:53M:6S : appuie sur touche fa Majeur
13H:53M:6S : appuie sur touche sol Majeur
13H:53M:6S : appuie sur touche mi Majeur
13H:53M:6S : appuie sur touche fa Majeur
13H:53M:6S : appuie sur touche sol Majeur
13H:53M:7S : appuie sur touche mi Majeur
13H:53M:7S : appuie sur touche fa Majeur
13H:53M:7S : appuie sur touche sol Majeur
13H:53M:7S : appuie sur touche mi Majeur
13H:53M:7S : appuie sur touche fa Majeur
13H:53M:7S : appuie sur touche sol Majeur
13H:53M:8S : appuie sur touche re Majeur
13H:53M:8S : appuie sur touche mi Majeur
13H:53M:8S : appuie sur touche fa Majeur
13H:53M:9S : appuie sur touche sol Majeur
13H:53M:9S : appuie sur touche la Majeur
13H:53M:10S : appuie sur touche si Majeur
13H:53M:10S : appuie sur touche do mineur
13H:53M:10S : appuie sur touche re mineur
13H:53M:10S : appuie sur touche mi mineur
13H:53M:11S : appuie sur touche fa mineur
13H:53M:15S : appuie sur touche do mineur
13H:53M:15S : appuie sur touche re Majeur
13H:53M:15S : appuie sur touche mi Majeur
13H:53M:15S : appuie sur touche fa Majeur
13H:53M:15S : appuie sur touche sol Majeur
13H:53M:16S : appuie sur touche si Majeur
13H:53M:16S : appuie sur touche re mineur
13H:53M:16S : appuie sur touche do mineur
13H:53M:16S : appuie sur touche re mineur
13H:53M:16S : appuie sur touche mi Majeur
13H:53M:16S : appuie sur touche fa Majeur
13H:53M:16S : appuie sur touche sol Majeur
13H:53M:16S : appuie sur touche si Majeur
13H:53M:17S : appuie sur touche re Majeur
13H:53M:17S : appuie sur touche si Majeur
13H:53M:17S : appuie sur touche mi Majeur
13H:53M:17S : appuie sur touche do mineur
13H:53M:17S : appuie sur touche fa Majeur
13H:53M:17S : appuie sur touche re mineur
13H:53M:17S : appuie sur touche re Majeur
13H:53M:17S : appuie sur touche mi Majeur
13H:53M:17S : appuie sur touche mi mineur
13H:53M:17S : appuie sur touche fa Majeur
13H:53M:17S : appuie sur touche sol Majeur
13H:53M:17S : appuie sur touche do mineur
13H:53M:17S : appuie sur touche re mineur
13H:53M:17S : appuie sur touche si Majeur
13H:53M:18S : appuie sur touche re Majeur
13H:53M:18S : appuie sur touche si Majeur
13H:53M:18S : appuie sur touche do mineur
13H:53M:18S : appuie sur touche mi Majeur
13H:53M:18S : appuie sur touche fa Majeur
13H:53M:18S : appuie sur touche sol Majeur
13H:53M:18S : appuie sur touche re mineur
13H:53M:19S : appuie sur touche re Majeur
13H:53M:19S : appuie sur touche sol Majeur
13H:53M:19S : appuie sur touche mi Majeur
13H:53M:19S : appuie sur touche fa Majeur
13H:53M:19S : appuie sur touche do mineur
13H:53M:19S : appuie sur touche re mineur
13H:53M:19S : appuie sur touche mi mineur
13H:53M:19S : appuie sur touche re Majeur
13H:53M:19S : appuie sur touche mi Majeur
13H:53M:19S : appuie sur touche sol Majeur
13H:53M:19S : appuie sur touche fa Majeur
13H:53M:19S : appuie sur touche si Majeur
13H:53M:19S : appuie sur touche re mineur
13H:53M:20S : appuie sur touche re Majeur
13H:53M:20S : appuie sur touche si Majeur
13H:53M:20S : appuie sur touche mi Majeur
13H:53M:20S : appuie sur touche do mineur
13H:53M:20S : appuie sur touche sol Majeur
13H:53M:20S : appuie sur touche fa Majeur
13H:53M:20S : appuie sur touche re mineur
13H:53M:21S : appuie sur touche re Majeur
13H:53M:21S : appuie sur touche si Majeur
13H:53M:21S : appuie sur touche mi Majeur
13H:53M:21S : appuie sur touche sol Majeur
13H:53M:21S : appuie sur touche fa Majeur
13H:53M:21S : appuie sur touche do mineur
13H:53M:21S : appuie sur touche re mineur
13H:53M:23S : appuie sur touche la Majeur
13H:53M:23S : appuie sur touche la Majeur
13H:53M:24S : appuie sur touche la Majeur
13H:53M:25S : appuie sur touche la Majeur
13H:53M:25S : appuie sur touche si Majeur
13H:53M:25S : appuie sur touche la Majeur
13H:53M:25S : appuie sur touche si Majeur
13H:53M:25S : appuie sur touche la Majeur
13H:53M:26S : appuie sur touche do mineur
13H:53M:26S : appuie sur touche si Majeur
13H:53M:26S : appuie sur touche la Majeur
13H:53M:26S : appuie sur touche do mineur
13H:53M:26S : appuie sur touche la Majeur
13H:53M:26S : appuie sur touche si Majeur
13H:53M:27S : appuie sur touche do mineur
13H:53M:27S : appuie sur touche la Majeur
13H:53M:27S : appuie sur touche si Majeur
13H:53M:28S : appuie sur touche si Majeur
13H:53M:28S : appuie sur touche do mineur
13H:53M:28S : appuie sur touche re mineur
13H:54M:11S : appuie sur touche sol Majeur
13H:54M:12S : L'utilisateur affiche les raccourcis
13H:54M:12S : L'utilisateur affiche les raccourcis
13H:54M:12S : L'utilisateur affiche les raccourcis
13H:54M:12S : L'utilisateur affiche les raccourcis
13H:54M:12S : L'utilisateur affiche les raccourcis
13H:54M:12S : L'utilisateur affiche les raccourcis
13H:54M:12S : L'utilisateur affiche les raccourcis
13H:54M:12S : L'utilisateur affiche les raccourcis
13H:54M:12S : L'utilisateur affiche les raccourcis
13H:54M:12S : L'utilisateur affiche les raccourcis
13H:54M:12S : L'utilisateur affiche les raccourcis
13H:54M:12S : L'utilisateur affiche les raccourcis
13H:54M:12S : L'utilisateur affiche les raccourcis
13H:54M:12S : L'utilisateur affiche les raccourcis
13H:54M:12S : L'utilisateur affiche les raccourcis
13H:54M:12S : L'utilisateur affiche les raccourcis
13H:54M:12S : L'utilisateur affiche les raccourcis
13H:54M:12S : L'utilisateur affiche les raccourcis
13H:54M:12S : L'utilisateur affiche les raccourcis
13H:54M:12S : L'utilisateur affiche les raccourcis
13H:54M:12S : L'utilisateur affiche les raccourcis
13H:54M:12S : L'utilisateur affiche les raccourcis
13H:54M:12S : L'utilisateur affiche les raccourcis
13H:54M:12S : L'utilisateur affiche les raccourcis
13H:54M:12S : L'utilisateur cache les raccourcis
13H:54M:12S : L'utilisateur cache les raccourcis
13H:54M:12S : L'utilisateur cache les raccourcis
13H:54M:12S : L'utilisateur cache les raccourcis
13H:54M:12S : L'utilisateur cache les raccourcis
13H:54M:12S : L'utilisateur cache les raccourcis
13H:54M:12S : L'utilisateur cache les raccourcis
13H:54M:12S : L'utilisateur cache les raccourcis
13H:54M:12S : L'utilisateur cache les raccourcis
13H:54M:12S : L'utilisateur cache les raccourcis
13H:54M:12S : L'utilisateur cache les raccourcis
13H:54M:12S : L'utilisateur cache les raccourcis
13H:54M:12S : L'utilisateur cache les raccourcis
13H:54M:12S : L'utilisateur cache les raccourcis
13H:54M:12S : L'utilisateur cache les raccourcis
13H:54M:12S : L'utilisateur cache les raccourcis
13H:54M:12S : L'utilisateur cache les raccourcis
13H:54M:12S : L'utilisateur cache les raccourcis
13H:54M:12S : L'utilisateur cache les raccourcis
13H:54M:12S : L'utilisateur cache les raccourcis
13H:54M:12S : L'utilisateur cache les raccourcis
13H:54M:12S : L'utilisateur cache les raccourcis
13H:54M:12S : L'utilisateur cache les raccourcis
13H:54M:12S : L'utilisateur cache les raccourcis
13H:54M:13S : L'utilisateur  affiche les options
13H:54M:13S : L'utilisateur cache les options / agrandit le piano
13H:54M:13S : L'utilisateur  affiche les options
13H:54M:13S : L'utilisateur  affiche les options
13H:54M:13S : L'utilisateur cache les options / agrandit le piano
13H:54M:14S : L'utilisateur  affiche les options
13H:54M:14S : L'utilisateur  affiche les options
13H:54M:14S : L'utilisateur cache les options / agrandit le piano
13H:54M:15S : L'utilisateur  affiche les options
13H:54M:15S : L'utilisateur  affiche les options
13H:54M:15S : L'utilisateur cache les options / agrandit le piano
13H:54M:15S : L'utilisateur  affiche les options
14H:0M:54S : appuie sur touche sol# Majeur
14H:0M:55S : appuie sur touche la# Majeur
14H:0M:55S : appuie sur touche do mineur
14H:0M:55S : appuie sur touche re mineur
14H:0M:55S : appuie sur touche fa mineur
14H:0M:56S : appuie sur touche fa mineur
14H:0M:56S : appuie sur touche fa mineur
14H:1M:2S : appuie sur touche re Majeur
14H:1M:2S : appuie sur touche mi Majeur
14H:1M:2S : appuie sur touche fa Majeur
14H:1M:2S : appuie sur touche sol Majeur
14H:1M:2S : appuie sur touche la Majeur
14H:1M:2S : appuie sur touche si Majeur
14H:1M:2S : appuie sur touche do mineur
14H:1M:2S : appuie sur touche re mineur
14H:1M:2S : appuie sur touche mi mineur
14H:1M:2S : appuie sur touche fa mineur
14H:1M:4S : appuie sur touche re Majeur
14H:1M:4S : appuie sur touche mi Majeur
14H:1M:4S : appuie sur touche fa Majeur
14H:1M:4S : appuie sur touche sol Majeur
14H:1M:5S : appuie sur touche la Majeur
14H:1M:5S : appuie sur touche si Majeur
14H:1M:5S : appuie sur touche do mineur
14H:1M:6S : appuie sur touche re mineur
14H:1M:7S : appuie sur touche mi mineur
14H:1M:7S : appuie sur touche re mineur
14H:1M:7S : appuie sur touche fa mineur
14H:1M:8S : appuie sur touche la mineur
14H:1M:9S : appuie sur touche la mineur
14H:1M:9S : appuie sur touche la mineur
14H:1M:10S : appuie sur touche si mineur
14H:1M:10S : appuie sur touche si mineur
14H:1M:11S : appuie sur touche si mineur
14H:1M:11S : appuie sur touche si mineur
14H:5M:54S : appuie sur touche fa# Majeur
14H:5M:54S : appuie sur touche si Majeur
14H:5M:54S : appuie sur touche mi mineur
14H:5M:56S : appuie sur touche re Majeur
14H:5M:56S : appuie sur touche mi Majeur
14H:5M:56S : appuie sur touche fa Majeur
14H:5M:57S : appuie sur touche fa Majeur
14H:5M:57S : appuie sur touche sol Majeur
14H:5M:58S : appuie sur touche do Majeur
14H:5M:59S : appuie sur touche re Majeur
14H:5M:59S : appuie sur touche mi Majeur
14H:6M:1S : appuie sur touche do Majeur
14H:6M:1S : appuie sur touche re Majeur
14H:6M:1S : appuie sur touche mi Majeur
14H:6M:2S : appuie sur touche re Majeur
14H:6M:3S : appuie sur touche do Majeur
14H:6M:3S : appuie sur touche re Majeur
14H:6M:3S : appuie sur touche mi Majeur
14H:6M:3S : appuie sur touche do Majeur
14H:6M:4S : appuie sur touche do Majeur
14H:6M:4S : appuie sur touche re Majeur
14H:6M:4S : appuie sur touche mi Majeur
14H:6M:5S : appuie sur touche do Majeur
14H:6M:5S : appuie sur touche do Majeur
